"cedula_catastral","area_has","remanente_ecosistema_natural","area_a_reforestar"
"768900002000000030202000000000","274.65","77.16","197.49"
"768900002000000040003000000000","110.73","17.82","92.91"
"768900001000000080011000000000","80.51","18.17","62.34"
"768900002000000030204000000000","83.73","51.32","32.41"
"768900001000000080039000000000","49.66","19.05","30.61"
"768900002000000030206000000000","44.39","14.96","29.43"
"768900002000000030330000000000","35.35","6.74","28.61"
"768900001000000080035000000000","36.99","10.13","26.86"
"768900001000000080022000000000","24.27","5.90","18.37"
"768900001000000080024000000000","20.81","3.08","17.73"
"768900002000000030622000000000","25.39","7.73","17.66"
"768900001000000080034000000000","17.60","1.39","16.21"
"768900001000000080318000000000","22.23","7.85","14.38"
"768900001000000080036000000000","16.55","4.59","11.96"
"768900001000000080023000000000","13.13","1.77","11.36"
"768900001000000080038000000000","20.57","9.92","10.65"
"768900001000000080032000000000","12.60","1.98","10.62"
"768900001000000080027000000000","11.77","2.82","8.95"
"768900001000000080095000000000","20.07","11.63","8.44"
"768900002000000030203000000000","391.21","383.34","7.87"
"768900001000000080420000000000","18.91","11.97","6.94"
"768900001000000080017000000000","12.76","5.97","6.79"
"768900001000000080014000000000","7.84","1.06","6.78"
"768900001000000080015000000000","15.55","8.82","6.73"
"768900001000000080030000000000","14.49","7.77","6.72"
"768900001000000080178000000000","6.18","0.06","6.12"
"768900001000000080148000000000","6.00","0.87","5.13"
"768900001000000080003000000000","14.07","8.98","5.09"
"768900001000000080019000000000","5.74","1.82","3.92"
"768900001000000080005000000000","3.79","0.50","3.29"
"768900001000000080155000000000","7.65","4.49","3.16"
"768900001000000080004000000000","2.67","0.15","2.52"
"768900001000000080373000000000","2.14","0.21","1.93"
"768900001000000080379000000000","2.03","0.14","1.89"
"768900001000000080033000000000","2.30","0.49","1.81"
"768900001000000080009000000000","2.12","0.51","1.61"
"768900001000000080372000000000","3.87","2.27","1.60"
"768900001000000080248000000000","23.30","21.92","1.38"
"768900001000000080020000000000","2.61","1.26","1.35"
"768900001000000080037000000000","1.76","0.70","1.06"
"768900001000000080377000000000","0.92","0.05","0.87"
"768900001000000080261000000000","0.87","0.11","0.76"
"768900001000000080007000000000","1.59","0.84","0.75"
"768900001000000080249000000000","7.37","6.63","0.74"
"768900001000000080438000000000","1.16","0.43","0.73"
"768900001000000080010000000000","0.63","0.02","0.61"
"768900001000000080219000000000","18.84","18.34","0.50"
"768900001000000080008000000000","0.51","0.02","0.49"
"768900001000000080332000000000","0.35","0.04","0.31"
"768900001000000080212000000000","0.30","0.00","0.30"
"768900001000000080016000000000","0.51","0.32","0.19"
"768900001000000080001000000000","0.91","0.88","0.03"
"768900001000000080002000000000","0.99","0.99","0.00"
